City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
297,khromtau,50.2503,58.4347,290.1,50,63,8.44,KZ,1686679376
298,nar'yan-mar,67.6713,53.087,281.94,63,99,5.83,RU,1686679598
299,cockburn town,21.4612,-71.1419,300.97,84,99,8.43,TC,1686679598
300,shingu,33.7333,135.9833,294.38,93,100,1.22,JP,1686679598
301,khovd,48.0056,91.6419,290.35,26,24,1.6,MN,1686679599
302,polyarnyy,69.1989,33.4478,281.0,63,99,9.52,RU,1686679599
303,khandud,36.9513,72.318,286.45,57,86,2.46,AF,1686679600
304,kittila,67.6647,24.8936,287.38,41,0,4.12,FI,1686679600
305,playas,-2.6333,-80.3833,299.87,77,71,5.03,EC,1686679601
306,livny,52.4253,37.6069,286.92,88,100,4.53,RU,1686679325
307,gadzhiyevo,69.2551,33.3362,280.83,63,98,9.87,RU,1686679602
308,zhangye,38.9342,100.4517,295.83,17,91,2.34,CN,1686679361
309,labytnangi,66.6572,66.4183,283.6,81,96,2.59,RU,1686679603
310,gotse delchev,41.5667,23.7333,289.64,89,93,0.39,BG,1686679311
311,rundu,-17.9333,19.7667,290.14,26,7,1.83,NA,1686679603
312,bangassou,4.7413,22.8184,295.79,79,99,0.77,CF,1686679604
313,cidreira,-30.1811,-50.2056,289.35,53,94,4.31,BR,1686679604
314,morehead city,34.7229,-76.726,300.37,75,20,4.63,US,1686679604
315,nacala,-14.5428,40.6728,295.42,73,2,2.31,MZ,1686679530
316,kil bhuvanagiri,11.4667,79.6333,303.55,67,91,7.68,IN,1686679605
317,markovo,57.3206,107.0881,281.33,65,82,1.69,RU,1686679605
318,kruisfontein,-34.0033,24.7314,290.31,69,100,4.15,ZA,1686679606
319,weno,7.4515,151.8468,302.12,79,75,2.57,FM,1686679606
320,hami,42.8,93.45,303.68,10,48,3.49,CN,1686679606
321,kyshtovka,56.555,76.6271,280.01,71,42,2.78,RU,1686679607
322,belmonte,-15.8631,-38.8828,298.52,78,18,3.48,BR,1686679607
323,rio san juan,19.6439,-70.0763,307.13,71,24,7.73,DO,1686679607
324,ngaoundere,7.3167,13.5833,292.3,96,96,1.48,CM,1686679608
325,dunedin,-45.8742,170.5036,279.71,90,68,1.88,NZ,1686679608
326,najran,17.4924,44.1277,304.23,18,89,2.83,SA,1686679441
327,dien bien phu,21.3833,103.0167,295.89,99,100,0.69,VN,1686679490
328,key largo,25.0865,-80.4473,305.15,68,10,4.9,US,1686679609
329,murghob,38.1702,73.9667,283.71,40,50,2.26,TJ,1686679610
330,ancud,-41.8697,-73.8203,280.41,77,99,1.35,CL,1686679610
331,tidjikja,18.5564,-11.4271,313.22,11,13,3.77,MR,1686679610
332,yuzawa,39.1667,140.5,290.84,98,100,0.21,JP,1686679611
333,vorkuta,67.5,64.0,283.27,92,89,5.93,RU,1686679551
334,augusto correa,-1.0217,-46.635,301.51,75,60,3.3,BR,1686679611
335,howard springs,-12.497,131.047,294.16,76,40,1.94,AU,1686679612
336,lichuan,30.3,108.85,288.6,90,100,0.55,CN,1686679612
337,fulton,33.7668,-84.4499,298.83,49,40,4.63,US,1686679319
338,menongue,-14.6585,17.691,289.76,30,8,1.87,AO,1686679613
339,kasane,-17.8167,25.15,290.17,29,1,2.91,BW,1686679614
340,lospalos,-8.5186,127.0025,292.79,82,95,2.4,TL,1686679614
341,hobyo,5.3505,48.5268,299.48,82,96,11.14,SO,1686679614
342,leava,-14.3,-178.1667,300.02,82,91,7.27,WF,1686679615
343,soreang,-7.0331,107.5183,294.4,94,58,1.03,ID,1686679615
344,arnage,47.9262,0.1878,301.22,36,0,5.14,FR,1686679348
345,warrenton,-28.114,24.8475,282.42,54,9,2.8,ZA,1686679616
346,ikalamavony,-21.15,46.5833,287.86,52,4,1.37,MG,1686679616
347,nizao,18.25,-70.2,306.19,59,2,6.27,DO,1686679619
348,val-d'or,48.1002,-77.7828,289.63,94,100,3.76,CA,1686679619
349,auki,-8.7676,160.7034,298.62,89,22,1.76,SB,1686679620
350,fuengirola,36.54,-4.6247,302.51,28,20,7.2,ES,1686679620
